,Year,Physics,Chemistry,Physiology/Medicine,Literature,Peace,Economic Sciences
80,1944,Isidor Isaac Rabi,Otto Hahn,Joseph Erlanger;Herbert Spencer Gasser,Johannes V. Jensen,International Committee of the Red Cross,-
81,1943,Otto Stern,George de Hevesy,Henrik Dam;Edward Adelbert Doisy,None,None,-
82,1942,No Record,No Record,No Record,No Record,No Record,No Record
83,1941,No Record,No Record,No Record,No Record,No Record,No Record
84,1940,Cancelled due to World War II,No Record,No Record,No Record,No Record,No Record
85,1939,Ernest Lawrence,Adolf Butenandt;[b]Leopold Ružička,Gerhard Domagk[b],Frans Eemil Sillanpää,None,-
86,1938,Enrico Fermi,Richard Kuhn[b],Corneille Heymans,Pearl S. Buck,Nansen International Office for Refugees,-
87,1937,Clinton Davisson;George Paget Thomson,Norman Haworth;Paul Karrer,Albert Szent-Györgyi,Roger Martin du Gard,"Robert Cecil, 1st Viscount Cecil of Chelwood",-
88,1936,Victor Francis Hess;Carl David Anderson,Peter Debye,Henry Hallett Dale;Otto Loewi,Eugene O'Neill,Carlos Saavedra Lamas,-
89,1935,James Chadwick,Frédéric Joliot-Curie;Irène Joliot-Curie,Hans Spemann,None,Carl von Ossietzky,-
90,1934,None,Harold Urey,George Whipple;George Minot;William P. Murphy,Luigi Pirandello,Arthur Henderson,-
91,1933,Erwin Schrödinger;Paul Dirac,None,Thomas Hunt Morgan,Ivan Bunin,Norman Angell,-
92,1932,Werner Heisenberg,Irving Langmuir,Charles Scott Sherrington;Edgar Adrian,John Galsworthy,None,-
93,1931,None,Carl Bosch;Friedrich Bergius,Otto Heinrich Warburg,Erik Axel Karlfeldt,Jane Addams;Nicholas Murray Butler,-
94,1930,C. V. Raman,Hans Fischer,Karl Landsteiner,Sinclair Lewis,Nathan Söderblom,-
95,1929,Louis de Broglie,Arthur Harden;Hans von Euler-Chelpin,Christiaan Eijkman;Frederick Gowland Hopkins,Thomas Mann,Frank B. Kellogg,-
96,1928,Owen Willans Richardson,Adolf Windaus,Charles Nicolle,Sigrid Undset,None,-
97,1927,Arthur Compton;Charles Thomson Rees Wilson,Heinrich Otto Wieland,Julius Wagner-Jauregg,Henri Bergson,Ferdinand Buisson;Ludwig Quidde,-
98,1926,Jean Baptiste Perrin,Theodor Svedberg,Johannes Fibiger,Grazia Deledda,Aristide Briand;Gustav Stresemann,-
99,1925,James Franck;Gustav Ludwig Hertz,Richard Adolf Zsigmondy,None,George Bernard Shaw,Austen Chamberlain;Charles G. Dawes,-
100,1924,Manne Siegbahn,None,Willem Einthoven,Władysław Reymont,None,-
101,1923,Robert Andrews Millikan,Fritz Pregl,Frederick Banting;John Macleod,W. B. Yeats,None,-
102,1922,Niels Bohr,Francis William Aston,Archibald Hill;Otto Fritz Meyerhof,Jacinto Benavente,Fridtjof Nansen,-
103,1921,Albert Einstein,Frederick Soddy,None,Anatole France,Hjalmar Branting;Christian Lous Lange,-
104,1920,Charles Édouard Guillaume,Walther Nernst,August Krogh,Knut Hamsun,Léon Bourgeois,-
105,1919,Johannes Stark,None,Jules Bordet,Carl Spitteler,Woodrow Wilson,-
106,1918,Max Planck,Fritz Haber,None,None,None,-
107,1917,Charles Glover Barkla,None,None,Karl Adolph Gjellerup;Henrik Pontoppidan,International Committee of the Red Cross,-
108,1916,None,None,None,Verner von Heidenstam,None,-
109,1915,William Henry Bragg;Lawrence Bragg,Richard Willstätter,None,Romain Rolland,None,-
110,1914,Max von Laue,Theodore William Richards,Robert Bárány,None,None,-
111,1913,Heike Kamerlingh Onnes,Alfred Werner,Charles Richet,Rabindranath Tagore,Henri La Fontaine,-
112,1912,Gustaf Dalén,Victor Grignard;Paul Sabatier,Alexis Carrel,Gerhart Hauptmann,Elihu Root,-
113,1911,Wilhelm Wien,Marie Curie,Allvar Gullstrand,Maurice Maeterlinck,Tobias Asser;Alfred Hermann Fried,-
114,1910,Johannes Diderik van der Waals,Otto Wallach,Albrecht Kossel,Paul Heyse,International Peace Bureau,-
115,1909,Karl Ferdinand Braun;Guglielmo Marconi,Wilhelm Ostwald,Emil Theodor Kocher,Selma Lagerlöf,Auguste Beernaert;Paul Henri Balluet d'Estournelles de Constant,-
116,1908,Gabriel Lippmann,Ernest Rutherford,Élie Metchnikoff;Paul Ehrlich,Rudolf Christoph Eucken,Klas Pontus Arnoldson;Fredrik Bajer,-
117,1907,Albert A. Michelson,Eduard Buchner,Charles Louis Alphonse Laveran,Rudyard Kipling,Ernesto Teodoro Moneta;Louis Renault,-
118,1906,J. J. Thomson,Henri Moissan,Camillo Golgi;Santiago Ramón y Cajal,Giosuè Carducci,Theodore Roosevelt,-
119,1905,Philipp Lenard,Adolf von Baeyer,Robert Koch,Henryk Sienkiewicz,Bertha von Suttner,-
120,1904,Lord Rayleigh,William Ramsay,Ivan Pavlov,Frédéric Mistral;José Echegaray,Institut de Droit International,-
121,1903,Henri Becquerel;Pierre Curie;Marie Curie,Svante Arrhenius,Niels Ryberg Finsen,Bjørnstjerne Bjørnson,Randal Cremer,-
122,1902,Hendrik Lorentz;Pieter Zeeman,Emil Fischer,Ronald Ross,Theodor Mommsen,Élie Ducommun;Charles Albert Gobat,-
123,1901,Wilhelm Röntgen,Jacobus Henricus van 't Hoff,Emil von Behring,Sully Prudhomme,Henry Dunant;Frédéric Passy,—
